408       17
23       12
4       4
95       8
25       7
1       4
228       17
9       16
1       0
4       25
82       4
14       9
0       7
157       10
2       30
5       3
0       4
18       9
139       20
22       4
18       17
60       13
51       16
3       8
57       9
7       16
0       11
67       4
124       10
9       6
3       3
51       5
12       5
11       4
0       4
1       225
1       225
2       22
13       7
48       8
118       17
14       12
54       7
42       96
225       400
21       13
1       14
28       6
5       9
6       6
