18
8	16	17
19	4	7
16	5	11
10	13	7
11	20	19
13	15	3
13	0	5
2	17	3
8	2	2
21	4	11
18	13	6
13	11	10
20	6	16
11	16	8
19	6	7
17	19	1
20	11	1
4	14	19
7
1	0	9
1	5	20
19	18	5
11	8	16
11	14	11
0	9	20
19	15	6
15
13	7	14
3	9	18
17	7	4
19	7	14
20	12	14
18	9	19
8	17	14
19	10	4
20	19	3
18	13	9
13	6	16
6	9	4
4	5	11
8	3	19
2	2	10
16
21	20	14
8	16	7
6	4	12
5	3	15
2	17	3
16	1	20
1	11	3
5	17	15
14	20	13
16	2	2
11	1	1
4	9	17
12	16	1
3	21	4
19	2	21
1	18	1
1
3 	7 	8
19
12	3	3
8	19	17
7	11	12
9	14	2
11	16	6
21	12	18
16	13	0
16	17	19
18	17	21
15	19	21
14	10	3
17	19	1
13	5	13
4	15	6
7	4	1
13	4	13
10	20	6
11	15	2
10	12	20
9
7	18	9
0	7	12
17	5	14
10	10	6
15	3	13
0	8	14
14	13	7
3	13	13
15	7	15
4
19	14	14
5	11	1
5	18	14
2	2	7
12
12	14	6
16	6	7
4	21	0
17	7	4
9	20	19
16	15	2
14	8	16
20	19	18
4	17	11
6	19	19
18	10	12
3	5	18
10
9	18	10
6	3	14
15	2	12
10	17	15
3	4	10
2	2	7
6	20	19
13	17	17
10	7	8
14	13	5
3
1	2	13
7	6	7
1	9	20
12
5	14	16
10	3	18
13	11	4
11	9	17
8	5	7
15	13	21
7	19	2
8	0	16
16	6	2
18	15	1
9	21	15
4	10	18
2
2	8	6
14	17	2
1
1	9	16
14
9	2	12
12	11	12
7	6	19
10	3	13
11	13	12
5	17	1
2	19	3
10	4	17
6	7	18
7	17	14
0	5	16
13	17	6
4	4	13
2	14	16
15
4	8	6
9	4	8
11	3	11
0	8	8
6	15	5
13	11	19
14	17	14
6	13	0
11	18	13
13	11	8
7	15	17
14	3	0
1	14	4
13	15	12
0	0	6
5
14	18	3
7	14	18
14	6	19
4	3	10
17	14	19
4
8	15	18
11	15	20
5	19	11
20	10	11
20
17	17	12
14	21	20
6	18	12
13	16	16
17	5	12
10	3	17
18	18	14
8	13	12
13	11	3
12	0	15
11	17	11
2	10	10
1	17	8
13	9	3
8	5	8
0	15	12
17	12	9
10	21	1
1	13	12
4	4	13
19
15	9	9
18	20	20
19	16	7
11	4	10
20	10	18
20	3	9
16	16	19
5	16	20
7	8	12
11	13	4
10	7	14
19	4	13
18	2	8
4	13	12
14	12	1
12	12	5
0	7	0
19	12	16
19	20	3
9
10	17	13
20	3	6
18	7	19
16	10	5
20	2	18
13	15	19
3	6	3
4	13	3
2	4	20
3
2	9	13
19	2	13
1	8	10
9
6	5	19
12	4	0
9	17	16
7	21	0
11	4	14
15	7	19
13	7	1
16	17	15
14	19	6
16
6	17	4
12	1	2
3	5	2
12	1	19
20	1	19
10	5	12
3	12	10
17	19	11
12	15	4
5	13	11
0	20	7
4	11	8
6	14	13
9	5	15
7	4	16
5	14	0
18
18	12	6
14	11	18
5	5	1
11	19	13
11	17	20
15	7	7
0	0	0
10	6	15
17	10	10
1	4	10
19	0	1
5	15	13
1	20	18
3	10	16
16	0	12
15	15	19
2	16	20
2	5	5
17
2	16	5
3	20	16
2	21	18
7	14	9
9	14	6
12	2	1
8	2	14
2	18	12
4	14	11
6	20	16
2	0	11
8	4	9
3	6	9
0	13	2
9	1	16
16	14	19
18	1	1
11
3	19	2
8	12	13
15	11	8
17	12	19
4	16	8
8	2	17
8	16	20
18	17	15
13	11	13
10	12	14
0	16	12
2
3	4	16
18	15	3
14
6	2	19
2	10	5
4	6	14
20	4	10
16	20	3
6	12	13
18	5	14
13	17	17
16	0	12
13	16	16
6	1	18
3	3	7
9	8	13
2	6	18
13
2	17	16
8	7	8
5	12	1
19	9	18
14	9	10
6	4	5
12	6	2
16	10	10
4	18	2
6	3	0
19	6	17
13	14	3
0	20	16
2
18	4	21
11	14	10
17
19	15	8
4	17	3
14	6	7
11	9	13
15	9	11
0	5	4
14	9	5
14	4	7
11	9	7
